time_iso8601,forks_cumulative
2024-02-27 00:00:00+00:00,75
2024-02-29 00:00:00+00:00,76
2024-03-06 00:00:00+00:00,77
2024-03-13 00:00:00+00:00,78
2024-03-14 00:00:00+00:00,79
2024-03-22 00:00:00+00:00,80
2024-03-28 00:00:00+00:00,81
2024-04-03 00:00:00+00:00,82
2024-04-05 00:00:00+00:00,83
2024-04-08 00:00:00+00:00,84
2024-04-10 00:00:00+00:00,86
2024-04-12 00:00:00+00:00,88
2024-04-15 00:00:00+00:00,89
2024-04-23 00:00:00+00:00,90
2024-04-26 00:00:00+00:00,91
2024-05-06 00:00:00+00:00,93
2024-05-09 00:00:00+00:00,94
2024-05-10 00:00:00+00:00,95
2024-05-13 00:00:00+00:00,96
2024-05-15 00:00:00+00:00,97
2024-05-16 00:00:00+00:00,98
2024-05-20 00:00:00+00:00,99
2024-05-21 00:00:00+00:00,100
2024-05-22 00:00:00+00:00,101
2024-05-24 00:00:00+00:00,102
2024-05-28 00:00:00+00:00,103
2024-05-31 00:00:00+00:00,104
2024-06-06 00:00:00+00:00,105
2024-06-13 00:00:00+00:00,106
2024-06-14 00:00:00+00:00,108
2024-06-19 00:00:00+00:00,109
2024-07-02 00:00:00+00:00,111
2024-07-10 00:00:00+00:00,112
2024-07-12 00:00:00+00:00,113
2024-07-21 00:00:00+00:00,114
2024-07-29 00:00:00+00:00,115
2024-07-30 00:00:00+00:00,116
2024-07-31 00:00:00+00:00,117
2024-08-01 00:00:00+00:00,118
2024-08-06 00:00:00+00:00,119
2024-08-07 00:00:00+00:00,120
2024-08-08 00:00:00+00:00,121
2024-08-09 00:00:00+00:00,122
2024-08-13 00:00:00+00:00,123
2024-08-14 00:00:00+00:00,124
2024-08-16 00:00:00+00:00,125
2024-08-20 00:00:00+00:00,126
2024-08-22 00:00:00+00:00,128
2024-08-23 00:00:00+00:00,129
2024-08-27 00:00:00+00:00,131
2024-08-28 00:00:00+00:00,133
2024-08-29 00:00:00+00:00,135
2024-09-02 00:00:00+00:00,137
2024-09-04 00:00:00+00:00,138
2024-09-13 00:00:00+00:00,139
2024-09-14 00:00:00+00:00,141
2024-09-17 00:00:00+00:00,142
2024-09-18 00:00:00+00:00,143
2024-09-20 00:00:00+00:00,145
2024-09-29 00:00:00+00:00,147
2024-10-05 00:00:00+00:00,148
2024-10-08 00:00:00+00:00,149
2024-10-10 00:00:00+00:00,152
2024-10-11 00:00:00+00:00,153
2024-10-12 00:00:00+00:00,154
2024-10-14 00:00:00+00:00,155
2024-10-15 00:00:00+00:00,156
2024-10-16 00:00:00+00:00,158
2024-10-18 00:00:00+00:00,159
2024-10-21 00:00:00+00:00,160
2024-10-24 00:00:00+00:00,163
2024-10-28 00:00:00+00:00,165
2024-10-29 00:00:00+00:00,168
2024-10-30 00:00:00+00:00,169
2024-10-31 00:00:00+00:00,170
2024-11-01 00:00:00+00:00,171
2024-11-02 00:00:00+00:00,172
2024-11-04 00:00:00+00:00,174
2024-11-08 00:00:00+00:00,175
2024-11-10 00:00:00+00:00,176
2024-11-12 00:00:00+00:00,177
2024-11-13 00:00:00+00:00,179
2024-11-14 00:00:00+00:00,181
2024-11-15 00:00:00+00:00,183
2024-11-16 00:00:00+00:00,184
2024-11-20 00:00:00+00:00,185
2024-11-22 00:00:00+00:00,187
